created_at,entry_id,Temperature,pH,Ammonia,DO,Salinity
2023-09-21 03:10:45 UTC,1382,27.94,7.59,0.17,7.1,30.05
2023-09-21 09:10:46 UTC,1383,29.56,6.7,0.22,6.54,30.18
2023-09-21 15:10:46 UTC,1384,27.88,6.78,0.16,6.54,30.18
2023-09-22 03:10:46 UTC,1385,26.94,7,0.05,7.65,30.26
2023-10-10 04:24:18 UTC,1386,29.56,17.67,0.02,5.99,29.81
2023-10-10 10:24:18 UTC,1387,28.13,17.35,0.02,4.34,29.67
2023-10-10 16:24:21 UTC,1388,27.31,12.89,0.02,4.34,29.81
2023-10-12 05:14:57 UTC,1389,-127,16.32,0.12,5.44,31.24
2023-10-12 11:14:57 UTC,1390,-127,16.43,0.08,5.44,31.71
2023-10-12 17:14:57 UTC,1391,-127,16.49,0.05,5.44,31.72
2023-10-13 05:14:57 UTC,1392,-127,16.52,0.1,5.44,31.77
2023-10-13 11:14:57 UTC,1393,-127,16.54,0.09,6.54,31.95
2023-10-13 17:14:57 UTC,1394,-127,16.46,0.06,19.78,31.67
2023-10-14 05:14:57 UTC,1395,-127,16.43,0.11,-14.41,31.48
2023-10-14 11:14:57 UTC,1396,-127,16.32,0.1,-14.41,31.63
2023-10-14 17:14:57 UTC,1397,-127,16.38,0.08,-14.41,31.54
2023-10-15 05:14:57 UTC,1398,-127,16.29,0.11,-14.41,31.25
2023-10-15 11:14:58 UTC,1399,-127,15.16,0.08,7.1,32.11
2023-11-21 01:26:09 UTC,1400,-127,11.82,0,4.34,29.51
